地名,センター,燃えるごみ,燃えないごみ,粗大ごみ,資源ごみ,危険ごみ
太田1～5丁目,清掃センター,月 木,金1 金3 金5,金1 金3 金5,金2 金4,金2 金4
太田浜町1～3区,清掃センター,月 木,金1 金3 金5,金1 金3 金5,金2 金4,金2 金4
太田八幡西,清掃センター,月 木,金1 金3 金5,金1 金3 金5,金2 金4,金2 金4
太田西本町,清掃センター,火 金,金1 金3 金5,金1 金3 金5,金2 金4,金2 金4
太田大門伸町,清掃センター,火 金,金1 金3 金5,金1 金3 金5,金2 金4,金2 金4
太田入町,清掃センター,火 金,金1 金3 金5,金1 金3 金5,金2 金4,金2 金4
太田双葉町,清掃センター,火 金,金1 金3 金5,金1 金3 金5,金2 金4,金2 金4
太田八幡北,清掃センター,火 金,金1 金3 金5,金1 金3 金5,金2 金4,金2 金4
太田八幡南,清掃センター,火 金,金1 金3 金5,金1 金3 金5,金2 金4,金2 金4
太田栄町,清掃センター,火 金,金1 金3 金5,金1 金3 金5,金2 金4,金2 金4
九合飯田町,清掃センター,月 木,木2 木4 木5,木2 木4 木5,木1 木3,木1 木3
九合飯塚町,清掃センター,火 金,木2 木4 木5,木2 木4 木5,木1 木3,木1 木3
九合新井町,清掃センター,火 金,木2 木4 木5,木2 木4 木5,木1 木3,木1 木3
九合南新井町,清掃センター,火 金,木2 木4 木5,木2 木4 木5,木1 木3,木1 木3
九合西矢島町,清掃センター,火 金,木1 木3 木5,木1 木3 木5,木2 木4,木2 木4
九合東矢島町,清掃センター,火 金,木1 木3 木5,木1 木3 木5,木2 木4,木2 木4
九合東別所町,清掃センター,火 金,木1 木3 木5,木1 木3 木5,木2 木4,木2 木4
九合内ヶ島町,清掃センター,火 金,木1 木3 木5,木1 木3 木5,木2 木4,木2 木4
九合内ヶ島町目塚,清掃センター,火 金,木1 木3 木5,木1 木3 木5,木2 木4,木2 木4
九合新島町,清掃センター,火 金,木1 木3 木5,木1 木3 木5,木2 木4,木2 木4
九合小舞木町,清掃センター,火 金,木1 木3 木5,木1 木3 木5,木2 木4,木2 木4
沢野福沢町,清掃センター,月 木,火1 火3 火5,火1 火3 火5,火2 火4,火2 火4
沢野富沢町,清掃センター,月 木,火1 火3 火5,火1 火3 火5,火2 火4,火2 火4
沢野牛沢町,清掃センター,月 木,火1 火3 火5,火1 火3 火5,火2 火4,火2 火4
沢野牛沢団地,清掃センター,月 木,火1 火3 火5,火1 火3 火5,火2 火4,火2 火4
沢野高林北町,清掃センター,月 木,火1 火3 火5,火1 火3 火5,火2 火4,火2 火4
沢野高林南町,清掃センター,月 木,火1 火3 火5,火1 火3 火5,火2 火4,火2 火4
沢野高林西町,清掃センター,月 木,火1 火3 火5,火1 火3 火5,火2 火4,火2 火4
沢野高林東町,清掃センター,月 木,火1 火3 火5,火1 火3 火5,火2 火4,火2 火4
沢野高林寿町,清掃センター,月 木,火1 火3 火5,火1 火3 火5,火2 火4,火2 火4
沢野岩瀬川町,清掃センター,月 木,火1 火3 火5,火1 火3 火5,火2 火4,火2 火4
沢野下浜田町,清掃センター,月 木,火1 火3 火5,火1 火3 火5,火2 火4,火2 火4
沢野末広町,清掃センター,火 金,火1 火3 火5,火1 火3 火5,火2 火4,火2 火4
沢野古戸町,清掃センター,火 金,火1 火3 火5,火1 火3 火5,火2 火4,火2 火4
沢野南矢島町,清掃センター,火 金,火1 火3 火5,火1 火3 火5,火2 火4,火2 火4
沢野細谷町(西新町の一部を含む),清掃センター,水 土,火1 火3 火5,火1 火3 火5,火2 火4,火2 火4
沢野米沢町(西新町の一部を含む),清掃センター,水 土,火1 火3 火5,火1 火3 火5,火2 火4,火2 火4
韮川東長岡町馬場,清掃センター,月 木,月1 月3 月5,月1 月3 月5,月2　月4,月2　月4
韮川東長岡町伊豆山,清掃センター,月 木,月1 月3 月5,月1 月3 月5,月2　月4,月2　月4
韮川東金井町1区,清掃センター,火 金,月1 月3 月5,月1 月3 月5,月2　月4,月2　月4
韮川東金井町2区,清掃センター,火 金,月1 月3 月5,月1 月3 月5,月2　月4,月2　月4
韮川石原町1区,清掃センター,火 金,月1 月3 月5,月1 月3 月5,月2　月4,月2　月4
韮川石原町2区,清掃センター,火 金,月1 月3 月5,月1 月3 月5,月2　月4,月2　月4
韮川安良岡町,清掃センター,火 金,月1 月3 月5,月1 月3 月5,月2　月4,月2　月4
韮川熊野町,清掃センター,火 金,月1 月3 月5,月1 月3 月5,月2　月4,月2　月4
韮川台之郷町1～6区,清掃センター,火 金,月2 月4 月5,月2 月4 月5,月1 月3,月1 月3
韮川上小林町,清掃センター,火 金,月2 月4 月5,月2 月4 月5,月1 月3,月1 月3
韮川植木野町(東新町の一部を含む),清掃センター,火 金,月2 月4 月5,月2 月4 月5,月1 月3,月1 月3
韮川矢場町,清掃センター,火 金,月2 月4 月5,月2 月4 月5,月1 月3,月1 月3
韮川矢場新町,清掃センター,火 金,月2 月4 月5,月2 月4 月5,月1 月3,月1 月3
鳥之郷大島町1～2区,清掃センター,月 木,金2 金4 金5,金2 金4 金5,金1 金3,金1 金3
鳥之郷長手町,清掃センター,月 木,金2 金4 金5,金2 金4 金5,金1 金3,金1 金3
鳥之郷鶴生田町東,清掃センター,月 木,金2 金4 金5,金2 金4 金5,金1 金3,金1 金3
鳥之郷鶴生田町西,清掃センター,月 木,金2 金4 金5,金2 金4 金5,金1 金3,金1 金3
鳥之郷三枚橋,清掃センター,月 木,金2 金4 金5,金2 金4 金5,金1 金3,金1 金3
鳥之郷鳥山上町,清掃センター,月 木,金2 金4 金5,金2 金4 金5,金1 金3,金1 金3
鳥之郷鳥山中町,清掃センター,月 木,金2 金4 金5,金2 金4 金5,金1 金3,金1 金3
鳥之郷鳥山下町,清掃センター,水 土,金2 金4 金5,金2 金4 金5,金1 金3,金1 金3
鳥之郷新野町,清掃センター,水 土,水2 水4 水5,水2 水4 水5,水1 水3,水1 水3
強戸成塚町,清掃センター,月 木,水1 水3 水5,水1 水3 水5,水2 水4,水2 水4
強戸北長岡,清掃センター,月 木,水1 水3 水5,水1 水3 水5,水2 水4,水2 水4
強戸西長岡町,清掃センター,月 木,水1 水3 水5,水1 水3 水5,水2 水4,水2 水4
