type,name,notice,furigana
燃えるごみ,生ごみ,水分をしっかり切る,な
燃えるごみ,木の枝,根は除く,き
燃えるごみ,雑草,土は除く,さ
燃えるごみ,皮製品,バッグや靴などの金属を取り除く,か
燃えるごみ,ゴム製品,バッグや靴などの金属を取り除く,か
燃えるごみ,ビデオテープ,,は
燃えるごみ,ＣＤ,,さ
燃えるごみ,ＤＶＤ,,た
燃えるごみ,フロッピーディスク,,は
燃えるごみ,古布類,汚物を取り除く,は
燃えるごみ,紙おむつ,汚物を取り除く,か
燃えるごみ,プラマークがついていないプラスチック製品,,は
燃えるごみ,バケツ,,は
燃えるごみ,プランター,,は
燃えるごみ,ハンガー,,は
燃えるごみ,発泡スチロール,,は
燃えるごみ,貝の殻・卵の殻など,,か
燃えるごみ,剪定枝,長さ60cm　太さ10cm以下にして、指定のごみ袋に入れるか、50cm以下の束にして45リットルの袋を巻いてください。,さ
燃えないごみ,ガラス製品,,か
燃えないごみ,陶器類,,た
燃えないごみ,金属類(鍋、フライパンなど),,か
燃えないごみ,割れたビン,,は
燃えないごみ,資源ごみに出せないカン,,か
燃えないごみ,指定袋に入る大きさの家電製品,家電リサイクル法対象品やパソコンは出せません。,か
燃えないごみ,炊飯器,家電リサイクル法対象品やパソコンは出せません。,さ
燃えないごみ,ドライヤー,家電リサイクル法対象品やパソコンは出せません。,た
燃えないごみ,電気ポット,家電リサイクル法対象品やパソコンは出せません。,た
粗大ごみ,ミシン(卓上式),指定袋に入らない大きさのごみが粗大ごみです。,ま
粗大ごみ,ミシン(卓上式のものを除く),指定袋に入らない大きさのごみが粗大ごみです。,ま
粗大ごみ,ガスコンロ,指定袋に入らない大きさのごみが粗大ごみです。,か
粗大ごみ,電子レンジ・トースター,指定袋に入らない大きさのごみが粗大ごみです。,た
粗大ごみ,食器洗い乾燥機(洗浄機),指定袋に入らない大きさのごみが粗大ごみです。,さ
粗大ごみ,流し台(システムキッチンを除く),指定袋に入らない大きさのごみが粗大ごみです。,な
粗大ごみ,湯沸器,指定袋に入らない大きさのごみが粗大ごみです。,や
粗大ごみ,風呂釜,指定袋に入らない大きさのごみが粗大ごみです。,は
粗大ごみ,浴槽(プラスチック製のみ),指定袋に入らない大きさのごみが粗大ごみです。,や
粗大ごみ,洗面化粧台(陶器類を除く),指定袋に入らない大きさのごみが粗大ごみです。,さ
粗大ごみ,便座,指定袋に入らない大きさのごみが粗大ごみです。,は
粗大ごみ,ストーブ・ファンヒーター,指定袋に入らない大きさのごみが粗大ごみです。,さ
粗大ごみ,扇風機・サーキュレーター,指定袋に入らない大きさのごみが粗大ごみです。,さ
粗大ごみ,電気こたつ(こたつ板は別料金),指定袋に入らない大きさのごみが粗大ごみです。,か
粗大ごみ,こたつ板,指定袋に入らない大きさのごみが粗大ごみです。,か
粗大ごみ,電気カーペット,指定袋に入らない大きさのごみが粗大ごみです。,か
粗大ごみ,ハロゲンヒーター,指定袋に入らない大きさのごみが粗大ごみです。,は
粗大ごみ,加湿器・空気清浄器・除湿機(フロンタイプを除く),指定袋に入らない大きさのごみが粗大ごみです。,か
粗大ごみ,換気扇,指定袋に入らない大きさのごみが粗大ごみです。,か
粗大ごみ,電気掃除機,指定袋に入らない大きさのごみが粗大ごみです。,さ
